,variant_id,beta,effect_allele_frequency
0,rs9273368,2.99,0.35
1,rs9273368,2.439,0.301
2,rs689,1.473,0.715
3,rs2476601,1.5290000000000001,0.14
4,rs3184504,1.24,0.52
5,rs1470579,1.3319999999999999,0.293
6,rs7754840,1.518,0.445
7,kgp12506180,3.9077766000000005,0.2217
8,rs10220124,14.65,0.008695999999999999
9,rs7254268,2.595,0.213
10,rs10830962,1.454,0.43
12,rs80028505,1.71,0.09
16,rs1983890,1.2302363,0.642
17,rs11755527,1.203898,0.44385699999999995
18,rs11888640,1.1833298,0.481522
20,rs7499584,0.15939355,0.297
21,rs6978712,2.02,0.175
22,rs7690819,1.63,0.521
25,rs11124945,7.61,0.19
26,rs113296370,8.83,0.19
27,rs4833103,5.26,0.5
28,rs2421556,0.531,0.65
29,rs1047891,0.64,0.33
30,rs13146355,0.6659999999999999,0.406
31,rs413988,0.943,0.6940000000000001
32,rs10941191,0.547,0.541
33,rs2542713,0.484,0.451
34,rs3812035,0.606,0.303
35,rs35789010,1.0190000000000001,0.061
36,rs13191445,0.9329999999999999,0.07
37,rs61742093,0.9259999999999999,0.92
38,rs3132374,0.9590000000000001,0.9159999999999999
39,rs2023463,1.01,0.092
40,rs2517601,0.956,0.115
41,rs1264347,1.01,0.109
42,rs2923008,1.0170000000000001,0.106
43,rs497309,1.0090000000000001,0.902
44,rs2105903,0.821,0.838
45,rs56013828,0.642,0.21100000000000002
46,rs145590578,0.9440000000000001,0.115
47,rs62435145,0.643,0.597
48,rs10224210,0.998,0.738
49,rs1556751,0.516,0.618
50,rs334,3.793,0.059000000000000004
51,rs963837,0.907,0.584
52,rs60307791,0.545,0.331
53,rs200950799,28.361,0.011000000000000001
54,rs8026743,0.645,0.33799999999999997
55,rs6145546,0.777,0.45
56,rs1906436,0.5589999999999999,0.633
57,rs2047866,0.575,0.45899999999999996
58,rs12922822,2.287,0.168
59,rs2079742,0.6809999999999999,0.8240000000000001
60,rs8096658,0.523,0.5579999999999999
61,rs3765209,0.55,0.322
62,rs10084572,28.026,0.013999999999999999
79,rs2304256,1.16,0.71
80,rs941576,1.11,0.57
81,rs13427836,0.19,0.15
82,rs649529,0.14,0.43
90,rs10224002,1.89,0.74
93,rs1974990,3.17,0.08
94,rs10224002,2.01,0.74
96,rs11864909,2.11,0.28
147,rs17696736,1.22,0.42
148,rs763361,1.16,0.47
149,rs1445898,1.12,0.55
150,rs2292239,1.28,0.34
151,rs12708716,1.23,0.68
152,rs2542151,1.3,0.16
153,rs2476601,1.98,0.09
154,rs6897932,1.12,0.71
155,rs9653442,1.11,0.46
156,rs6679677,1.89,0.1
157,rs3741208,1.25,0.38
158,rs1990760,1.18,0.6
159,rs1004446,1.61,0.65
160,rs2903692,1.54,0.62
161,rs2476601,1.8,0.09
162,rs2647044,8.3,0.13
169,rs3024505,1.19,0.83
170,rs9388489,1.17,0.45
