0,1,Males,Ethnicity
"7
",['Universal Pictures / Gold Circle Films'],[],
"
",['Coach Carter'],[],
"Sports, Drama
",['Elektra'],[],
"Action, Superhero
",['Racing Stripes'],[],
"Comedy, Sports, Family
",['19\n'],[],
"Jean-François Richet (director); James DeMonaco (screenplay); Ethan Hawke, Laurence Fishburne, John Leguizamo, Maria Bello, Ja Rule, Drea de Matteo, Matt Craven, Brian Dennehy, Gabriel Byrne, Kim Coates, Dorian Harewood, Currie Graham, Titus Welliver, Aisha Hinds",['\n'],[],
Columbia Pictures / Revolution Studios,"['Comedy', ' Family\n']",[],
Alone in the Dark,"['Uwe Boll (director); Elan Mastai', ' Michael Roesch', ' Peter Scheerer (screenplay); Christian Slater', ' Tara Reid', ' Stephen Dorff', ' Frank C. Turner', ' Matthew Walker', ' Will Sanderson', ' Mike Dopud', ' Francoise Yip', ' Mark Acheson', ' Darren Shahlavi', ' Karin Konoval', ' Ed Anders', ' Brendan Fletcher']",['Uwe Boll (director); Elan Mastai'],
Hide and Seek,"['John Polson (director); Ari Schlossberg (screenplay); Robert De Niro', ' Dakota Fanning', ' Famke Janssen', ' Elisabeth Shue', ' Amy Irving', ' Dylan Baker', ' Melissa Leo', ' Robert John Burke']",['John Polson (director); Ari Schlossberg (screenplay); Robert De Niro'],
"4
",['Screen Gems / Ghost House Pictures'],[],
"
",['Universal Pictures / Gold Circle Films'],[],
"
",['Hitch'],[],
"Romance, Comedy
","[""Pooh's Heffalump Movie""]",[],
"Family
",['18\n'],[],
"Wayne Wang (director); Joan Singleton (screenplay); AnnaSophia Robb, Jeff Daniels, Cicely Tyson, Dave Matthews, Eva Marie Saint, Lara Grice, Marca Price, Luke Benward, Courtney Jines, BJ Hopper, Nick Price, Elle Fanning, Becca Lish, Lenore Banks, John McConnell, Jared Day, Harland Williams, Julia Lashae",['\n'],[],
"Francis Lawrence (director); Kevin Brodbin, Frank Cappello (screenplay); Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou, Tilda Swinton, Pruitt Taylor Vince, Gavin Rossdale, Peter Stormare, Francis Guinan, José Zúñiga",['\n'],[],
"Lawrence Guterman (director); Lance Khazei (screenplay); Jamie Kennedy, Alan Cumming, Traylor Howard, Steven Wright, Kal Penn, Bob Hoskins, Ben Stein, Magda Szubanski, Sandy Winton, Rebecca Massey, Ryan Johnson, Victoria Thaine, Duncan Young, Peter Flett, Amanda Smyth, Ryan and Liam Falconer, Bear the Dog, Bill Farmer, Richard Steven Horvitz, Joyce Kurtz, Mona Marshall, Mary Matilyn Mouser, Neil Ross",['\n'],[],
Dimension Films,['Horror\n'],[],
Lions Gate Films / The Tyler Perry Company,"['Comedy', ' Drama\n']",[],
Columbia Pictures / Revolution Studios,['Comedy\n'],[],
Be Cool,"['F. Gary Gray (director); Peter Steinfeld (screenplay); John Travolta', ' Uma Thurman', ' Vince Vaughn', ' Cedric the Entertainer', ' André Benjamin', ' Robert Pastorelli', ' Christina Milian', ' Harvey Keitel', ' The Rock', ' Danny DeVito', ' Paul Adelstein', ' Debi Mazar', ' Gregory Alan Williams', ' Seth Green', ' James Woods', ' Anthony J. Ribustello', ' Kimberly J. Brown', ' Aerosmith', ' Wyclef Jean', ' Sergio Mendes', ' Black Eyed Peas', ' Gene Simmons', ' Fred Durst', ' Anna Nicole Smith', ' Ben Levey', ' Della Reese']",['Vince Vaughn'],"['Lebanese25', 'Italian50', 'English', 'Irish', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'SwissFrench', 'Dutch']"
The Jacket,"['John Maybury (director); Massy Tadjedin (screenplay); Adrien Brody', ' Keira Knightley', ' Kris Kristofferson', ' Jennifer Jason Leigh', ' Kelly Lynch', ' Brad Renfro', ' Daniel Craig', ' Steven Mackintosh', ' Brendan Coyle', ' Mackenzie Phillips', ' Jason Lewis', ' Richard Dillane', ' Jonah Lotan', ' Angel Coulby', ' Paul Birchard', ' Nigel Whitmey', ' Ian Porter', ' Anthony Edridge', ' Kerry Shale', ' Angus MacInnes', ' Richard Durden', ' Tristan Gemmill', ' Colin Stinton', ' Tara Summers', ' Angelo Andreou', ' Teresa Gallagher', ' Charneh Demir', ' Garrick Hagon', ' Fish']",['John Maybury (director); Massy Tadjedin (screenplay); Adrien Brody'],
The Pacifier,"['Adam Shankman (director); Thomas Lennon', ' Robert Ben Garant (screenplay); Vin Diesel', ' Lauren Graham', ' Faith Ford', ' Brittany Snow', ' Max Thieriot', ' Carol Kane', ' Brad Garrett', ' Morgan York', ' Kegan and Logan Hoover', ' Bo and Luke Vink', ' Chris Potter', ' Tate Donovan', ' Denis Akiyama', ' Scott Thompson']",['Adam Shankman (director); Thomas Lennon'],
"11
",['Miramax Films / Stratus Film Compamy / Cheyenne Enterprises / Equity Pictures'],[],
"
",['20th Century Fox / Blue Sky Studios'],[],
"
",['Ice Princess'],[],
"Sports, Teen, Family
",['The Ring Two'],['The Ring Two'],
"Horror
",['24\n'],[],
"John Pasquin (director); Marc Lawrence (screenplay); Sandra Bullock, Regina King, Enrique Murciano, William Shatner, Ernie Hudson, Heather Burns, Diedrich Bader, Treat Williams, Vic Chao, John DiResta, Abraham Benrubi, Nick Offerman, Eileen Brennan, Stephen Tobolowsky, Elisabeth Röhm, Leslie Grossman, Lusia Strus, Megan Cavanagh, Molly Gottlieb, Christopher Ford, Ross Adam, Dolly Parton, Regis Philbin, Joy Philbin, Octavia Spencer",['\n'],[],
Columbia Pictures / 20th Century Fox / Regency Enterprises,"['Comedy', ' Romance\n']",[],
Walt Disney Pictures / Ealing Studios / Vanguard Animation,"['Comedy', ' Family\n']",[],
Beauty Shop,"['Bille Woodruff (director); Kate Lanier', ' Norman Vance Jr. (screenplay); Queen Latifah', ' Alicia Silverstone', ' Andie MacDowell', ' Alfre Woodard', ' Mena Suvari', ' Della Reese', ' Kevin Bacon', ' Djimon Hounsou', "" Lil' JJ"", ' Adele Givens', ' Bryce Wilson', ' Crystal Garrett', ' Golden Brooks', ' Keshia Knight Pulliam', ' Octavia Spencer', ' Paige Hurd', ' Reagan Gomez-Preston', ' Sherri Shepherd', ' Sheryl Underwood', ' Jim Holmes', ' Joyful Drake', ' Tawny Dahl', ' Laura Hayes', ' Birdman', ' Ki Toy Johnson', ' Kimora Lee Simmons', ' LisaRaye McCoy', ' Wilmer Valderrama', ' Andrew Levitas']",['Norman Vance Jr. (screenplay); Queen Latifah'],
"1
",['Dimension Films / Troublemaker Studios'],[],
"
",['New Line Cinema'],[],
"
",['Fever Pitch'],[],
"Romance, Comedy
",['Sahara'],[],
"Adventure
",['13\n'],[],
"Damon Dash (director); Adam Moreno (screenplay); Beanie Sigel, N.O.R.E, Damon Dash, Michael Bentt, Omillio Sparks, DJ Clue?, Roselyn Sanchez, Juelz Santana, Winky Wright, Cam'ron, Kanye West, Ol' Dirty Bastard, Oschino, Freeway, Young Gunz, Jim Jones, Duan Grant, Sundy Carter, Nicole Wray, Mariah Carey, 'Fame' Jamal Grinnage MOP, 'Billy' MOP, 'Fox' MOP, Loon, Angie Martinez, Omahyra Mota, Bernard Hopkins",['\n'],[],
Metro-Goldwyn-Mayer / Dimension Films / Platinum Dunes / Radar Pictures,['Horror\n'],[],
The Interpreter,"['Sydney Pollack (director); Charles Randolph', ' Scott Frank', ' Steven Zaillian (screenplay); Nicole Kidman', ' Sean Penn', ' Catherine Keener', ' Jesper Christensen', ' Yvan Attal', ' Earl Cameron', ' Curtiss Cook', ' George Harris', ' Michael Wright', ' Tsai Chin', ' Clyde Kusatsu', ' Eric Keenleyside', ' Hugo Speer', ' Maz Jobrani', ' Yusuf Gatewood', ' Robert Clohessy', ' Terry Serpico', ' David Zayas', ' Sydney Pollack', ' Adrian Martinez', ' Byron Utley']",['Scott Frank'],
